,Clouds,Humidity,Latitude,Temperature,Wind_Speed
378,88,64,-32.49,73.4,9.17
379,76,89,-33.52,70.51,23.06
380,0,100,32.47,55.39,4.61
381,88,79,52.37,34.24,9.75
382,40,100,31.68,51.8,6.93
383,56,96,1.69,62.64,2.04
384,12,94,-14.54,62.77,3.6
385,90,87,43.56,59.04,4.7
386,90,80,64.84,24.8,4.94
387,92,95,-35.66,59.8,22.06
388,90,100,60.73,23.0,4.47
389,0,44,-34.58,80.6,14.99
390,40,59,33.08,63.64,12.75
391,92,100,-16.48,74.65,10.09
392,64,92,16.26,80.77,3.49
393,75,82,-18.01,63.68,4.7
394,12,95,-0.13,77.71,1.92
395,24,95,60.75,23.89,2.15
396,92,100,37.15,54.72,8.08
397,76,100,-0.72,78.25,4.5
398,0,88,36.74,40.36,2.71
399,76,64,63.79,6.61,5.06
400,0,33,14.07,61.65,5.73
401,20,74,-9.43,87.8,8.05
402,88,100,38.84,64.17,12.21
403,80,100,64.25,41.49,9.98
404,24,63,44.17,5.04,2.93
405,20,93,51.89,41.0,8.05
406,76,71,57.31,13.14,9.53
407,90,69,32.76,33.8,21.92
408,0,80,43.58,39.58,2.24
409,90,64,47.66,33.8,33.33
410,0,92,41.42,37.57,4.61
411,20,88,8.58,78.97,11.43
412,20,93,-0.39,51.8,2.24
413,0,67,-7.89,71.41,9.75
414,1,39,36.67,58.03,4.7
415,75,77,33.72,59.0,3.36
416,92,93,53.8,48.46,13.89
417,0,69,9.52,73.4,8.05
418,36,81,-9.08,74.7,1.7
419,20,62,50.38,-18.86,1.92
420,0,57,13.3,62.41,2.82
421,0,82,20.93,66.2,19.46
422,24,88,6.26,76.32,2.93
423,80,100,42.34,16.69,9.64
424,40,87,29.21,55.4,4.47
425,92,100,-22.82,67.45,4.61
426,68,37,27.69,53.05,13.78
427,1,78,49.76,9.66,12.75
428,80,76,47.6,27.0,14.79
429,88,78,64.9,28.3,9.19
430,92,100,12.34,81.04,7.74
431,0,77,32.79,60.43,5.84
432,92,36,-34.18,82.66,9.98
433,40,70,-17.57,84.2,14.99
434,24,100,66.94,-4.96,1.36
435,90,80,64.47,30.2,11.18
436,76,84,54.33,14.49,11.65
437,40,81,48.94,48.2,5.82
438,44,100,-2.57,84.37,8.3
439,88,100,45.68,55.9,1.12
440,88,99,-21.64,76.32,15.23
441,92,70,58.04,25.87,6.85
442,0,100,-23.87,68.8,11.77
443,1,40,36.97,58.44,5.82
444,76,93,-6.82,63.49,3.27
445,0,93,49.65,49.41,9.17
446,24,100,11.67,80.86,8.41
447,1,35,36.85,58.24,1.03
448,20,83,64.73,-7.61,6.71
449,0,83,13.64,77.0,2.24
450,76,32,60.91,41.0,34.45
451,75,93,39.49,59.0,4.7
452,64,85,-38.38,64.84,14.0
453,90,79,30.04,48.06,17.22
454,92,90,10.67,82.03,13.78
455,40,30,-20.73,98.6,12.75
456,32,100,63.01,-7.66,5.5
457,44,93,-15.89,74.56,4.05
458,0,94,45.23,46.75,10.09
459,24,95,-1.8,62.55,3.71
460,0,81,47.18,44.87,4.7
461,68,29,18.9,65.38,2.82
462,40,69,19.61,82.4,8.95
463,56,84,10.2,81.04,3.49
464,40,88,-20.01,75.2,8.05
465,68,82,71.64,-5.14,3.27
466,92,79,57.97,33.7,15.68
467,1,51,40.67,32.7,3.36
468,64,78,0.54,83.11,2.15
469,64,96,-0.61,81.45,13.67
470,75,67,47.92,21.2,6.71
471,0,33,69.41,-22.24,11.65
472,0,51,12.18,63.09,4.72
473,40,47,-28.65,78.8,17.22
474,20,83,-22.93,73.4,13.87
475,92,99,43.74,35.95,9.19
476,36,93,22.82,74.25,12.77
477,0,59,14.31,70.74,4.5
478,0,52,-20.07,85.0,10.2
479,88,92,49.36,38.29,14.23
480,88,100,45.05,36.99,10.65
481,12,100,-2.02,81.4,10.2
482,0,53,15.46,58.09,3.6
483,80,77,63.37,23.35,8.86
484,75,100,26.33,64.4,12.75
485,75,83,18.22,80.6,12.75
486,68,83,-30.17,73.3,19.04
487,80,93,53.59,46.4,8.05
488,56,93,2.34,69.16,4.94
489,0,93,12.25,85.45,4.5
490,90,85,65.28,15.8,11.41
491,44,94,-9.29,66.01,2.04
492,75,79,3.17,84.2,4.7
493,20,88,38.73,64.4,21.83
494,0,87,-41.87,46.39,2.37
495,75,80,53.05,41.0,17.9
496,0,29,13.06,62.77,6.85
497,0,30,-18.35,66.15,11.43
498,75,48,34.68,61.59,12.75
499,56,87,54.08,45.77,9.17
500,12,91,-35.62,63.99,9.53
501,92,100,-3.36,74.2,2.59
502,88,80,-8.45,85.09,2.71
503,0,58,14.35,61.92,3.15
504,0,72,56.1,15.8,8.95
505,0,42,26.59,65.11,3.04
506,0,76,15.44,84.55,2.93
507,8,100,46.84,0.4,3.6
508,0,78,38.2,24.34,2.71
509,0,100,-12.58,74.65,0.92
510,20,77,50.69,37.4,5.82
511,0,71,28.33,67.27,2.71
512,1,39,43.97,21.94,2.71
513,48,66,13.81,69.97,3.71
514,40,83,20.71,80.6,3.36
515,0,27,-19.66,63.22,11.65
516,0,78,24.47,77.86,3.36
517,40,81,44.15,44.6,6.93
518,0,41,27.87,59.0,12.75
519,1,93,26.76,74.3,3.36
520,12,77,-38.66,62.14,10.2
521,75,67,34.88,64.76,18.34
522,44,87,28.45,58.95,3.6
523,40,87,50.71,48.2,9.17
524,0,86,4.99,67.5,2.48
525,0,92,39.91,21.2,2.04
526,48,87,61.99,37.89,5.61
527,92,98,24.63,47.92,1.81
528,0,82,22.2,78.25,5.17
529,75,67,36.58,59.0,2.24
530,90,82,39.75,43.29,5.82
531,80,99,-3.52,70.29,0.13
532,75,93,34.7,61.29,4.7
533,92,100,60.8,46.4,6.93
534,12,71,34.92,56.41,8.05
535,12,89,-11.78,34.65,1.48
